All,Összes
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Nem adta meg a termék cikkszámát. Kérem <a href=""%1"">kattintson ide</a> a termék(ek) cikkszám szerinti hozzáadásához."
"You have not entered a product SKU.","Nem adta meg a termék cikkszámát."
"We can't add a product to cart by id ""%1"".","A ""%1"" azonosítójú terméket nem lehet a kosárba helyezni."
"Something went wrong while reordering this product.","Hiba a termék hozzárendelése közben."
"We can't find this wish list.","A kívánságlista nem található."
"You added %1 product to your shopping cart.","%1 terméket a kosarába tett."
"You added %1 products to your shopping cart.","%1 termékeket a kosararába tett."
"%1 product requires your attention.","%1 termék figyelmet igényel."
"%1 products require your attention.","%1 termék figyelmet igényel."
"Yes, for Specified Customer Groups","Igen, meghatározott vásárlói csoportoknak"
"Yes, for Everyone","Igen, mindenkinek"
No,Nem 
"The file is corrupt and can't be used.","Az állomány sérült, és nem használható."
"Please upload the file in .csv format.","Kérlek, töltsd fel a fájlt .csv formátumban."
"%1 item(s) need your attention.","%1 elem figyelmet igényel."
"Apply Coupon Code","Kuponkód alkalmazása"
"Remove Coupon Code","Kuponkód eltávolítása"
"The coupon code ""%1"" is not valid.","A ""%1"" kuponkód érvénytelen."
"Shopping Cart Items","Kosár tartalma"
Qty,Mennyiség
Subtotal,Részösszeg
Discount,Kedvezmény
"Row Subtotal","Sor részösszeg"
Action,Akció
"No ordered items","Nincs megrendelt termék"
"Total %1 product(s)","Összesen %1 termék"
Subtotal:,Részösszeg:
"Please select","Kérem válasszon"
"Move to Wish List","Kívánság listára helyezés"
"No item specified.","Nincs megadott elem."
"Are you sure you want to remove this item?","Biztos vagy benne, hogy eltávolítod ezt az elemet?"
"SKU number",Cikkszám
"Upload File","Fájl feltöltése"
"Your csv file must include ""sku"" and ""qty"" columns.","A csv fájlnak ""sku"" és ""qty"" oszlopokat is tartalmaznia kell."
Reset,Alaphelyzet
"SKU: ","Cikkszám: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Csak <span id=""%1_max_allowed"">%2</span> darab van raktáron"
Item,Elem
"See price before order confirmation.","Az ár megtekintése a megrendelés megerősítése előtt."
"What's this?","Mi ez?"
"Incl. Tax",Adóval
"Excl. Tax","Adó nélkül"
"Edit item parameters","Termék paraméterek szerkesztése"
Edit,Szerkesztés
"Remove item","Elem eltávolítása"
"Products Requiring Attention","Figyelmet igénylő termékek"
"Add to Cart",Kosárba
Sku,Cikkszám
File,Fájl
"File extensions allowed: .csv","Engedélyezett fájl kiterjesztések: .csv"
"Add Row","Sor hozzáadása"
"Remove Row","Sor eltávolítása"
"Add Products By SKU","Termékek hozzáadása cikkszám alapján"
"Shopping Cart Management","Kosár kezelése"
"View Shopping Cart","Kosár megtekintése"
"View and modify Shopping Cart","Kosár megtekintése és módosítása"
"Order by SKU Settings","Rendelés cikkszám alapján beállításai"
"Enable Order by SKU on My Account in Storefront","""Rendelés cikkszám szerint"" engedélyezése a Saját fiók alatt a Storefronton"
"Customer Groups","Vevői csoportok"
"Apply Coupon","Kupon érvényesítése"
"Order by SKU Description","""Rendelés cikkszám szerint"" leírása"
"Display a Link to Loading a Spreadsheet","Munkafüzet feltöltés link engedélyezése"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","A ""Saját fiók"" &gt; ""Rendelés cikkszám szerint"" link engedélyezése a felületi elemben"
"Link Text","Link szövege"
"The text of the link to the My Account &gt; Order by SKU page","A ""Saját fiók"" &gt; ""Rendelés cikkszám szerint"" link szövege"
"Load a list of SKUs","Termékazonosító lista betöltése"
"Order by SKU Template","""Rendelés cikkszám szerint"" sablon"
"Please correct the data sent.","Kérjük, javítsa a továbbított adatokat."
"Entity type model '%1' is not found","'%1' entitás model típus nem található"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entitás típus modellnek a \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType egy példányának kell lennie"
"There are no product types available for export","Nincsenek exportálható terméktípusok"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 osztály nem valósítja meg, \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Értékesítési szabály"
"Index sales rule","Értékesítési szabály indexelése"
"Related Search Terms","Kapcsolódó keresési kifejezések"
"Add New Search Term","Új keresési kifejezés hozzáadása"
"Missing search engine parameter.","Hiányzó kereső motor paraméter."
"Successful! Test again?","Sikeres! Új teszt?"
"Connection failed! Test again?","A csatlakozás nem sikerült! Újra próbálja?"
"Enable Search Recommendations","Keresési javaslatok engedélyezése"
"When you enable this option your site may slow down.","Ha engedélyezi ezt a beállítást, az a weboldal lassulását okozhatja."
"Search Recommendations Count","Keresési javaslatok száma"
"Show Results Count for Each Recommendation","A találatok számának mutatása minden egyes javaslathoz"
"Enable Search Suggestions","Keresési javaslatok engedélyezése"
"Search Suggestions Count","Keresési javaslatok száma"
"Show Results Count for Each Suggestion","Találatok számának mutatása minden egyes javaslathoz"
"Related search terms","Kapcsolódó kifejezések"
"Did you mean","Erre gondolt"
"Search Query","Keresési lekérdezés"
Store,Bolt
Results,Eredmények
Uses,Felhasználók
"Redirect URL","URL átirányítás"
"Suggested Term","Javasolt kifejezés"
Yes,Igen
"RPC call failed, connection timed out after %time_out.","RPC-hívás sikertelen, kapcsolat idő túllépés %time_out után."
"Message has been rejected: %1","Üzenet visszautasítva: %1"
"Error while checking if topic is synchronous","Hiba téma szinkronitás ellenőrzése során"
"Subscription status","Előfizetés állapota"
"Sorry, there has been an error processing your request. Please try again later.","Sajnáljuk, de hiba történt a kérés feldolgozása során! Kérjük, próbálja meg később újra!"
"The time value is using an unsupported format. Enter a supported format and try again.","Az idő nem támogatott formátumban lett megadva. Kérem adja meg támogatott formátumban, és próbálkozzon újra."
"Cron settings can't be saved","Nem lehet menteni a cron beállításokat"
"There was an error save new configuration value.","Hiba történt az új konfigurációs érték mentése során!"
"Please select an industry.","Válassza ki az iparágat."
"--Please Select--","--Kérem, válasszon--"
"Command ""%1"" was not found.","A(z) ""%1"" parancs nem található."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Az adat érvénytelen. Adja meg az adatokat karakterláncként vagy úgy hogy karakterlánccá lehessen alakítani, majd próbálkozzon újra."
"The data is invalid. Enter the data as a string and try again.","Az adat érvénytelen. Adja meg az értéket karakterláncként, és próbálkozzon újra."
"The data is invalid. Use a valid cipher method and try again.","Az adat érvénytelen. Használjon érvényes titkosító eljárást és próbálja újra."
"Enter the encryption key and try again.","Adja meg a titkosítási kulcsot, és próbálkozzon újra."
"The ""%1"" source doesn't exist.","A ""%1"" forrás nem létezik."
"These arguments can't be empty ""%1""","Ezek az értékek nem lehetnek üresek ""%1"""
"Cannot find predefined integration user!","Nem található az előre definiált felhasználóintegráció!"
"File is not ready yet.","A fájl még nincs kész."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Megváltozott az alapértelmezett URL, és a jelentései aktualizálásra kerülnek. A Fejlett jelentéskészítés akkor lesz újra elérhető, ha ez a változás feldolgozásra kerül. Kérjük próbálkozzon újra később."
"Failed to synchronize data to the Magento Business Intelligence service. ","Az adatszinkronizálás sikertelen a Magento Üzleti Intelligencia szolgáltatás irányába. "
"Retry Synchronization",Újraszinkronizálás
TestMessage,Tesztüzenet
"Apps and Games","Alkalmazások és játékok"
"Athletic/Sporting Goods",Sportszerek
"Art and Design","Művészet és dizájn"
"Advanced Reporting","Fejlett jelentéskészítés"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Kapjon új betekintést és kontrollálja az üzlete teljesítményét a dinamikus termékünk, rendelésünk és vevői jelentéseink segítségével, amelyet az Ön vevői adataira szabunk."
"Go to Advanced Reporting","Ugrás a fejlett jelentéskészítésre"
Analytics,Analitika
Configuration,Konfiguráció
"Business Intelligence","Üzleti intelligencia"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Ez a szolgáltatás a jelentések dinamikus készletét biztosítja, részletes betekintéssel az Ön cégéről. 
                A jelentéseit biztonságosan elérheti egy személyre szabott vezérlőpanelen, ami nem része az admin panelnek, ha rákattint a
                ""Ugrás a fejlett jelentéskészítésre"" link-re. </br> Bővebb információért tekintse meg <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">feltételeinket</a>."
"Advanced Reporting Service","Fejlett jelentéskészítés szolgáltatás"
"Time of day to send data","Napon belüli időpont az adatok küldésére"
"Industry Data","Iparági adatok"
Industry,Ipar
"In order to personalize your Advanced Reporting experience, please select your industry.","Válassza ki az iparágat a fejlett jelentéskészítő testreszabásához."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>További részletek a Magento Üzleti intelligenciáról</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","A Magento Üzleti intelligencia egyszerű és tiszta utat nyújt Önnek ahhoz, hogy
                    adatvezérlés alapúvá váljon.</br> Bővebben lássa a <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Alap és BI Pro</a> terméket."
"Auto Parts","Autó alkatrészek"
"Baby/Children’s Apparel, Gear and Toys","Baba/gyermek ruházat, felszerelés és játékok"
"Beauty and Cosmetics","Szépségápolás és kozmetika"
"Books, Music and Magazines","Könyvek, a zene és a magazinok"
"Crafts and Stationery","Kézművesség és irodaszerek"
"Consumer Electronics","Szórakoztató elektronika"
"Deal Site","Akció oldal"
"Fashion Apparel and Accessories","Ruházati cikkek és kiegészítők"
"Food, Beverage and Grocery","Élelmiszer és ital"
"Home Goods and Furniture","Lakberendezés és bútorok"
"Home Improvement",Lakásfelújítás
"Jewelry and Watches","Ékszerek és órák"
"Mass Merchant","Tömegtermék kereskedés"
"Office Supplies","Irodai kellékek"
"Outdoor and Camping Gear","Kültéri és kemping felszerelés"
"Pet Goods","Kisállat termékek"
"Pharma and Medical Devices","Gyógyszeripari és orvostechnikai eszközök"
"Technology B2B","Technológia B2B"
Other,Egyéb
Done,Kész
Retry,Újra
"'Action Details - #' .","""Művelet részletek - #""."
"%1 item(s) have been scheduled for update.""","%1 elem frissítése beütemezve."""
"Bulk Actions Log","Tömeges műveletek naplója"
"Bulk uuid %bulkUuid not exist","Tömeges %bulkUuid uuid nem létezik"
"Topic %1","%1 Téma"
"Something went wrong while processing the request.","Hiba a kérelem feldolgozása közben."
"Error processing %key element of input data","Hiba a bevitt adat %key részének feldolgozásakor"
"Sorry, something went wrong during product prices update. Please see log for details.","Elnézést, hiba történt a termék árak frissítésekor. Kérjük, nézze meg a naplót a részletekért."
"%1 item(s) are currently being updated.","%1 elem frissítése megkezdődött."
"Task ""%1"": ","Feladat ""%1"": "
"%1 item(s) have been scheduled for update.","%1 elem frissítése beütemezve."
"%1 item(s) have been successfully updated.","%1 elem sikeresen frissült."
"%1 item(s) failed to update","nem sikerült frissíteni a %1 elemet"
Details,Részletek
"View Details","Részletek megjelenítése"
Dismiss,Elutasítás
"Pending, in queue...","Függőben lévő, sorban..."
"%1 items selected for mass update","%1 cikk tömeges frissítésre kiválasztva"
", %1 successfully updated",", %1 sikeresen frissítve"
", %1 failed to update",", %1 sikertelen frissítés"
"Something went wrong.","Valami elromlott."
"Action Log","Műveleti napló"
Report,Jelentés
"Bulk Actions","Tömeges műveletek"
"Action Logs","Műveleti naplók"
"Days Saved in Log","Naplóban tárolt napok"
"Description of Operation","A művelet leírása"
Summary,Összefoglaló
"Start Time","Kezdés ideje"
"Items to Retry","Elemek újra"
"To retry, select the items and click “Retry”.","Újrapróbálásához jelölje ki az elemeket, és kattintson az ""Újra"" gombra."
"Items That Can’t Be Updated.","Elemek, amelyek nem frissíthetők."
Status,Állapot
Action,Művelet
"Meta Information",Meta-információk
Error,Hiba
"Dismiss All Completed Tasks","Minden befejezett feladat elutasítása"
"Action Details - #","Művelet részletek - #"
"Number of Records Affected","Módosított sorok száma"
"The role wasn't found for the user. Verify the role and try again.","A szerepkör nincs beállítva a felhasználóhoz. Ellenőrizze a szerepeket, és próbálkozzon újra."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Hiba történt az engedélyezett erőforrások listájának összeállítása közben. Részletek a kivételek naplójában."
"You created the order.","A megrendelés létre lett hozva."
"Order saving error: %1","Hiba a rendelés mentése közben: %1"
"Please choose a payment method.","Kérjük válasszon egy fizetési módot."
"We can't process your order right now. Please try again later.","Rendelését jelenleg nem tudjuk feldolgozni. Kérjük később próbálkozzon újra."
"An error occurred on the server. Please try to place the order again.","Hiba történt a kiszolgálón. Kérjük, próbálja meg újra leadni a megrendelését."
"Credit Card: xxxx-%1","Hitelkártya: xxxx-%1"
"amount %1","%1 összeg"
failed.,"nem sikerült."
successful.,sikeres.
"Authorize.Net Transaction ID %1.","Authorize.Net tranzakció azonosító %1."
authorize,engedélyez
"authorize and capture","engedélyez és levon"
capture,levon
refund,visszatérítés
void,érvénytelen
"Gateway error: %1","Átjáró hiba: %1"
"Something went wrong in the payment gateway.","Hiba történt a fizetési átjáróban."
"Invalid amount for capture.","Érvénytelen levonandó összeg."
"Payment capturing error.","Hiba a fizetés közben."
"Invalid transaction ID.","Érvénytelen a tranzakció azonosítója."
"Payment voiding error.","Fizetés érvénytelenítési hiba."
"Invalid amount for refund.","Érvénytelen visszatérítendő összeg."
"Payment refunding error.","Visszafizetési hiba."
"The transaction was declined because the response hash validation failed.","A tranzakció elutasítva válasz érvényesség ellenőrzés sikertelensége miatt."
"This payment didn't work out because we can't find this order.","A tranzakció sikertelen volt, mivel a megrendelés nem található."
"There was a payment authorization error.","Fizetés hitelesítési hiba történt."
"Please enter a transaction ID to authorize this payment.","Adjon meg egy tranzakció azonosítót a kifizetés engedélyezéséhez."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Hiba: a fizetett összeg nem egyezik meg a rendelés összértékével. Kérem állítsa be a helyes összeget és próbálkozzon újra."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","A %1 tranzakció engedélyezve lett. Összeg: %2. Tranzakció állapota: ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","A %1 tranzakció érvénytelenítve vagy elutasítva. Tranzakció állapota: ""%2"". Összeg: %3."
"Authorize Only","Csak engedélyez"
"Authorize and Capture","Engedélyez és levon"
"Unable to get transaction details. Try again later.","Nem sikerült lekérdezni a tranzakció részleteit. Próbálkozzon később."
"Electronic payments save the trees.","Elektronikus fizetéssel óvja a fákat."
"Credit Card Type",Hitelkártya-típus
"Please Select","Kérem válasszon"
"Credit Card Number",Hitelkártyaszám
"Expiration Date","Lejárat dátuma"
"Card Verification Number","Kártya ellenőrző szám"
"Fraud Detection ","Csalások felderítése "
"FDS Filter Action","FDS szűrő művelet"
"AVS Response","AVS válasz"
"Card Code Response","Kártya kód válasz"
"CAVV Response","CAVV válasz"
"Fraud Filters","Csalás szűrők"
"Place Order",Megrendelés
"Sorry, but something went wrong. Please contact the seller.","Sajnáljuk, ismeretlen hiba történt. Kérem vegye fel a kapcsolatot az eladóval."
Enabled,Engedélyezve
"Payment Action","Fizetési művelet"
Title,Cím
"API Login ID","API bejelentkezési azonosító"
"Transaction Key","Tranzakciós kulcs"
"Merchant MD5","Kereskedő MD5"
"New Order Status","Új megrendelés állapota"
"Test Mode","Teszt mód"
"Gateway URL","Átjáró URL"
"Transaction Details URL","Tranzakció részletei URL"
"Accepted Currency","Elfogadott pénznemek"
Debug,Hibakeresés
"Email Customer","Ügyfél értesítése levélben"
"Merchant's Email","Kereskedő e-mail"
"Credit Card Types","Hitelkártya típusok"
"Credit Card Verification","Hitelkártya ellenőrzés"
"Payment from Applicable Countries","Fizetés az elérhető országokból"
"Payment from Specific Countries","Fizetés a megadott országokból"
"Minimum Order Total","Minimális rendelési összeg"
"Maximum Order Total","Maximális rendelési összeg"
"Sort Order","Rendezési sorrend"
"Cannot place order.","Rendelés sikertelen."
"'Gateway error: ' .","'Átjáró hiba: ' ."
"Unable to place order. Please try again later.","Nem sikerült a megrendelés. Kérjük próbálkozzon később."
"A server error stopped your order from being placed. Please try to place your order again.","Kiszolgáló hiba miatt a rendelését nem rögzítettük. Kérem próbálja meg újra leadni a rendelését."
"The transaction details are unavailable. Please try again later.","A tranzakció részletei nem elérhetőek. Kérjük, próbálja meg később újra."
"Signature Key","Aláírás kulcs"
"There was an error while trying to process the request.","Hiba történt a kérés feldolgozása során."
"This transaction cannot be refunded with its current status.","Ez az ügylet nem téríthető vissza a jelenlegi állapotában."
"The authenticity of the gateway response could not be verified.","Az átjáró válaszának hitelessége nem ellenőrizhető."
"Basic Authorize.Net Settings","Alap Authorize.Net beállítások"
Environment,Környezet
"Public Client Key","Nyilvános kliens kulcs"
"Signature Key","Aláíró kulcs"
"Merchant MD5 (deprecated)","Kereskedő MD5 (elavult)"
"Advanced Authorize.Net Settings","Haladó Authorize.Net beállítások"
"Enable Credit Card Verification Field","Engedélyezze a hitelkártya ellenőrzése mezőt"
"Invalid request to gateway.","Érvénytelen kérés az átjáróhoz."
"Invalid gateway credentials.","Érvénytelen azonosítás az átjáróhoz."
"Transaction has been declined. Please try again later.","Tranzakció elutasítva. Kérjük, próbálkozzon később."
options,opciók
"Select all","Összes kijelölése"
"Deselect all","Az összes kijelölés törlése"
"We couldn't find any records.","Nincs találat."
Show,Megjelenítés
"per page",oldalanként
"%s of %s selected","%s kijelölve a %s -ből "
"Search by keyword","Keresés kulcsszó alapján"
"This is a required field.","Ez egy szükséges mező."
"B2B Features","B2B szolgáltatások"
"Invalid Form Key. Please refresh the page.","Érvénytelen űrlapkulcs. Kérjük, frissítse a lapot!"
"You entered an invalid Secret Key. Please refresh the page.","Érvénytelen titkos kulcsot adott meg. Kérjük, frissítse a lapot!"
"Invalid security or form key. Please refresh the page.","Érvénytelen biztonsági vagy űrlapkulcs. Kérjük, frissítse a lapot."
"Cache Storage Management","Gyorsítótárak kezelése"
"Flush Magento Cache","Magento gyorsítótár ürítése"
"The cache storage may contain additional data. Are you sure that you want to flush it?","A gyorsítótár további adatot tartalmazhat. Biztosan üríteni akarja?"
"Flush Cache Storage","Gyorsítótár ürítése"
Invalidated,Érvénytelenítve
Orders,Rendelések
Amounts,Összegek
Bestsellers,Bestsellerek
"Most Viewed Products","Legnézettebb termékek"
"New Customers","Új vásárlók"
Customer,Vásárló
Guest,Vendég
Items,Termékek
Total,Összesen
